Country,work_year,experience_level,employment_type,job_title,salary_in_usd,remote_ratio,company_size,Cost of Living Index,Rent Index,Local Purchasing Power Index,Cost of Living Plus Rent Index,GDP,log_salary,experience_numeric,salary_k,adjusted_salary,rent_burden_ratio,gdp_to_power_ratio,role_category,role_numeric,remote_Onsite,remote_Remote,company_size_num,country_France,country_Germany,country_Greece,country_India,country_Japan,country_Netherlands,country_Other,country_Spain,country_United Kingdom,country_United States,exp_x_role,exp_x_remote,size_x_gdp
Germany,2020,Mid,FT,Data Scientist,79833,0,L,62.2,24.4,120.2,44.0,47379.765194548,11.28770475786082,2,79.8,1283.49,0.555,394.174,AI,4,True,False,3,False,True,False,False,False,False,False,False,False,False,8,0.0,142139.295583644
Japan,2020,Senior,FT,Machine Learning Scientist,260000,0,S,46.1,13.4,117.0,30.4,40028.7341726762,12.468440756144114,3,260.0,5639.91,0.441,342.126,AI,4,True,False,1,False,False,False,False,True,False,False,False,False,False,12,0.0,40028.7341726762
United Kingdom,2020,Senior,FT,Big Data Engineer,109024,50,M,62.0,31.1,115.2,47.1,40404.8062238951,11.599332492710968,3,109.0,1758.45,0.66,350.736,Engineering,2,False,False,2,False,False,False,False,False,False,False,False,True,False,6,1.5,80809.6124477902
Honduras,2020,Mid,FT,Product Data Analyst,20000,0,S,63.606218487394955,34.282184873949575,124.5889075630252,49.50722689075631,2307.61494319511,9.90353755128617,2,20.0,314.43,0.692,18.522,Analytics,3,True,False,1,False,False,False,False,False,False,True,False,False,False,6,0.0,2307.61494319511
United States,2020,Senior,FT,Machine Learning Engineer,150000,50,L,70.4,41.7,142.3,56.6,64401.5074354212,11.918397239722838,3,150.0,2130.68,0.737,452.576,AI,4,False,False,3,False,False,False,False,False,False,False,False,False,True,12,1.5,193204.5223062636
United States,2020,Entry,FT,Data Analyst,72000,100,L,70.4,41.7,142.3,56.6,64401.5074354212,11.184435286790631,1,72.0,1022.73,0.737,452.576,Analytics,3,False,True,3,False,False,False,False,False,False,False,False,False,True,3,1.0,193204.5223062636
United States,2020,Senior,FT,Lead Data Scientist,190000,100,S,70.4,41.7,142.3,56.6,64401.5074354212,12.154784614286667,3,190.0,2698.86,0.737,452.576,AI,4,False,True,1,False,False,False,False,False,False,False,False,False,True,12,3.0,64401.5074354212
Hungary,2020,Mid,FT,Data Scientist,35735,50,L,41.7,11.3,63.4,27.1,16386.9308821258,10.483913863031955,2,35.7,856.95,0.417,258.469,AI,4,False,False,3,False,False,False,False,False,False,True,False,False,False,8,1.0,49160.79264637739
United States,2020,Mid,FT,Business Data Analyst,135000,100,L,70.4,41.7,142.3,56.6,64401.5074354212,11.813037464800539,2,135.0,1917.61,0.737,452.576,Analytics,3,False,True,3,False,False,False,False,False,False,False,False,False,True,6,2.0,193204.5223062636
New Zealand,2020,Senior,FT,Lead Data Engineer,125000,50,S,64.6,25.9,121.0,46.0,41850.92032802,11.736077016252437,3,125.0,1934.98,0.563,345.875,Engineering,2,False,False,1,False,False,False,False,False,False,True,False,False,False,6,1.5,41850.92032802
