work_year,salary_in_usd,remote_ratio,Cost of Living Index,Rent Index,Local Purchasing Power Index,Cost of Living Plus Rent Index,GDP,log_salary,experience_numeric,salary_k,adjusted_salary,rent_burden_ratio,gdp_to_power_ratio,role_numeric,remote_Onsite,remote_Remote,company_size_num,country_France,country_Germany,country_Greece,country_India,country_Japan,country_Netherlands,country_Other,country_Spain,country_United Kingdom,country_United States,exp_x_role,exp_x_remote,size_x_gdp
2020,79833,0,62.2,24.4,120.2,44.0,47379.765194548,11.28770475786082,2,79.8,1283.49,0.555,394.174,4,True,False,3,False,True,False,False,False,False,False,False,False,False,8,0.0,142139.295583644
2020,260000,0,46.1,13.4,117.0,30.4,40028.7341726762,12.468440756144114,3,260.0,5639.91,0.441,342.126,4,True,False,1,False,False,False,False,True,False,False,False,False,False,12,0.0,40028.7341726762
2020,109024,50,62.0,31.1,115.2,47.1,40404.8062238951,11.599332492710968,3,109.0,1758.45,0.66,350.736,2,False,False,2,False,False,False,False,False,False,False,False,True,False,6,1.5,80809.6124477902
2020,20000,0,63.606218487394955,34.282184873949575,124.5889075630252,49.50722689075631,2307.61494319511,9.90353755128617,2,20.0,314.43,0.692,18.522,3,True,False,1,False,False,False,False,False,False,True,False,False,False,6,0.0,2307.61494319511
2020,150000,50,70.4,41.7,142.3,56.6,64401.5074354212,11.918397239722838,3,150.0,2130.68,0.737,452.576,4,False,False,3,False,False,False,False,False,False,False,False,False,True,12,1.5,193204.5223062636
2020,72000,100,70.4,41.7,142.3,56.6,64401.5074354212,11.184435286790631,1,72.0,1022.73,0.737,452.576,3,False,True,3,False,False,False,False,False,False,False,False,False,True,3,1.0,193204.5223062636
2020,190000,100,70.4,41.7,142.3,56.6,64401.5074354212,12.154784614286667,3,190.0,2698.86,0.737,452.576,4,False,True,1,False,False,False,False,False,False,False,False,False,True,12,3.0,64401.5074354212
2020,35735,50,41.7,11.3,63.4,27.1,16386.9308821258,10.483913863031955,2,35.7,856.95,0.417,258.469,4,False,False,3,False,False,False,False,False,False,True,False,False,False,8,1.0,49160.79264637739
2020,135000,100,70.4,41.7,142.3,56.6,64401.5074354212,11.813037464800539,2,135.0,1917.61,0.737,452.576,3,False,True,3,False,False,False,False,False,False,False,False,False,True,6,2.0,193204.5223062636
2020,125000,50,64.6,25.9,121.0,46.0,41850.92032802,11.736077016252437,3,125.0,1934.98,0.563,345.875,2,False,False,1,False,False,False,False,False,False,True,False,False,False,6,1.5,41850.92032802
2020,51321,0,63.7,21.0,102.4,43.2,39169.8606000707,10.845874789131557,1,51.3,805.67,0.486,382.518,4,True,False,1,True,False,False,False,False,False,False,False,False,False,4,0.0,39169.8606000707
2020,40481,0,21.2,5.6,82.6,13.7,1907.04251637669,10.60861270985548,2,40.5,1909.48,0.409,23.088,4,True,False,3,False,False,False,True,False,False,False,False,False,False,8,0.0,5721.127549130069
2020,39916,0,63.7,21.0,102.4,43.2,39169.8606000707,10.594557577300874,1,39.9,626.62,0.486,382.518,4,True,False,2,True,False,False,False,False,False,False,False,False,False,4,0.0,78339.7212001414
2020,87000,100,70.4,41.7,142.3,56.6,64401.5074354212,11.373674891823535,2,87.0,1235.8,0.737,452.576,3,False,True,3,False,False,False,False,False,False,False,False,False,True,6,2.0,193204.5223062636
2020,85000,100,70.4,41.7,142.3,56.6,64401.5074354212,11.350418300109132,2,85.0,1207.39,0.737,452.576,3,False,True,3,False,False,False,False,False,False,False,False,False,True,6,2.0,193204.5223062636
2020,8000,50,18.8,2.8,29.1,11.1,1278.39735206896,8.987321812850125,2,8.0,425.53,0.252,43.931,3,False,False,3,False,False,False,False,False,False,True,False,False,False,6,1.0,3835.19205620688
2020,41689,100,46.1,13.4,117.0,30.4,40028.7341726762,10.638016570874843,1,41.7,904.32,0.441,342.126,2,False,True,1,False,False,False,False,True,False,False,False,False,False,2,1.0,40028.7341726762
2020,114047,100,62.0,31.1,115.2,47.1,40404.8062238951,11.644374691390427,3,114.0,1839.47,0.66,350.736,2,False,True,1,False,False,False,False,False,False,False,False,True,False,6,3.0,40404.8062238951
2020,5707,50,21.2,5.6,82.6,13.7,1907.04251637669,8.649623978596727,1,5.7,269.2,0.409,23.088,0,False,False,2,False,False,False,True,False,False,False,False,False,False,0,0.5,3814.08503275338
2020,56000,100,70.4,41.7,142.3,56.6,64401.5074354212,10.933124826700707,2,56.0,795.45,0.737,452.576,2,False,True,2,False,False,False,False,False,False,False,False,False,True,4,2.0,128803.0148708424
2020,43331,0,31.7,12.3,73.3,22.4,10627.4637989619,10.676646671065457,2,43.3,1366.91,0.549,144.986,4,True,False,2,False,False,False,False,False,False,True,False,False,False,8,0.0,21254.9275979238
2020,6072,100,21.2,5.6,82.6,13.7,1907.04251637669,8.711607995897575,2,6.1,286.42,0.409,23.088,3,False,True,3,False,False,False,True,False,False,False,False,False,False,6,2.0,5721.127549130069
2020,47899,50,52.0,12.9,53.0,33.2,17886.733165236,10.776870783399007,3,47.9,921.13,0.389,337.486,2,False,False,3,False,False,True,False,False,False,False,False,False,False,6,1.5,53660.199495708
2020,98000,0,70.4,41.7,142.3,56.6,64401.5074354212,11.49273296168228,2,98.0,1392.05,0.737,452.576,3,True,False,2,False,False,False,False,False,False,False,False,False,True,6,0.0,128803.0148708424
